Studio,City,Country,Latitude,Longitude
Wētā FX,Wellington,New Zealand,-41.2785362,174.7766418
Bohemia Interactive,Brno,Czech Republic,49.1952227,16.6079597
Pixel Zoo,Brisbane,Australia,-27.4679357,153.0280914
Jumbo Interactive Limited,Brisbane,Australia,-27.4679357,153.0280914
Treyarch,Vancouver,Canada,49.2496574,-123.119339
Intermission Film,Amsterdam,Netherlands,52.373084,4.8999023
Digital District,Paris,France,48.85341,2.3487999
Method Studios,New York City,United States,40.7142691,-74.0059738
Insomniac Games,Durham,United States,35.9940329,-78.8986206
Breaking Walls,Montreal,Canada,45.5167792,-73.6491776
EA Studios,Orlando,United States,28.5383355,-81.3792343
Flying Bark Productions,Sydney,Australia,-33.86785,151.2073212
Raw Power Games,Copenhagen,Denmark,55.6776812,12.5709343
ROCKFISH Games,Hamburg,Germany,53.55,10
2K,Valencia,Spain,39.4697524,-0.3773868
Zoic Studios,Vancouver,Canada,49.2496574,-123.119339
Undaunted Games,Montreal,Canada,45.5167792,-73.6491776
Twitch,New York City,United States,40.7142691,-74.0059738
Psyop,Los Angeles,United States,34.0522342,-118.2436829
The Coalition,Vancouver,Canada,49.2496574,-123.119339
"The Third Floor, Inc.",Vancouver,Canada,49.2496574,-123.119339
Ripple Effect Studios,Vancouver,Canada,49.2496574,-123.119339
Ubisoft,Paris,France,48.85341,2.3487999
Ubisoft,Pune,India,18.5195742,73.8553543
Wooga,Berlin,Germany,52.5166667,13.3999996
People Can Fly,Warsaw,Poland,52.25,21
Amber,Bucharest,Romania,44.4333333,26.1000004
Azra Games,Sacramento,United States,38.5815719,-121.4944
Tequila Works,Madrid,Spain,40.4165021,-3.7025642
Leadtech Group,Barcelona,Spain,41.3887869,2.1589851
Corgan MediaLab,New York City,United States,40.7142691,-74.0059738
Schell Games,Pittsburgh,United States,40.4406248,-79.9958878
DigixArt,Montpellier,France,43.6,3.8833332
Netflix,Amsterdam,Netherlands,52.373084,4.8999023
Stellar Entertainment,Utrecht,Netherlands,52.090833,5.1222219
Basilic Fly Studio,Pune,India,18.5195742,73.8553543
BoldBrush VFX,Montpellier,France,43.6,3.8833332
Atlantis Animation,Santa Cruz de Tenerife,Spain,28.4682386,-16.2546158
Titmouse,Vancouver,Canada,49.2496574,-123.119339
Method Studios,Vancouver,Canada,49.2496574,-123.119339
Budge Studios,Montreal,Canada,45.5167792,-73.6491776
Epic Games,Montreal,Canada,45.5167792,-73.6491776
Guerrilla Games,Amsterdam,Netherlands,52.373084,4.8999023
Compulsion Games,Montreal,Canada,45.5167792,-73.6491776
Kabam,Vancouver,Canada,49.2496574,-123.119339
Marmalade Game Studio,Lisbon,Portugal,38.7166667,-9.1333332
Socialpoint,Barcelona,Spain,41.3887869,2.1589851
Star Stable Entertainment,Stockholm,Sweden,59.3325765,18.0649033
Illusorium Animation Studios,Madrid,Spain,40.4165021,-3.7025642
Ollin VFX,Mexico City,Mexico,19.4341667,-99.1386108
Spellbound VFX,Chennai,India,13.0878385,80.2784729
2 Minutes,Paris,France,48.85341,2.3487999
Boxel Studio,Tijuana,Mexico,32.5333333,-117.0166702
Scholar,Los Angeles,United States,34.0522342,-118.2436829
Miniclip,Lisbon,Portugal,38.7166667,-9.1333332
Cloud Chamber,Montreal,Canada,45.5167792,-73.6491776
M&C Saatchi Group South Africa,Johannesburg,South Africa,-26.2,28.083334
Playtika,Bucharest,Romania,44.4333333,26.1000004
DNEG,Vancouver,Canada,49.2496574,-123.119339
DICE,Stockholm,Sweden,59.3325765,18.0649033
Gimmie Games,Atlanta,United States,33.7489954,-84.3879852
WongDoody,Los Angeles,United States,34.0522342,-118.2436829
WongDoody,Seattle,United States,47.6062095,-122.3320694
Moonshot Animations,Karachi,Pakistan,24.8666667,67.0500031
Scopely,Dublin,Ireland,53.3330556,-6.248889
Scopely,Barcelona,Spain,41.3887869,2.1589851
Finz Games,Lahore,Pakistan,31.5497222,74.3436127
Igloo Creative House,Lisbon,Portugal,38.7166667,-9.1333332
Magic Media,Buenos Aires,Argentina,-34.5761256,-58.4088135
Mythical Games,San Francisco,United States,37.7749295,-122.4194183
Kevin VFX,Los Angeles,United States,34.0522342,-118.2436829
Hornet,New York City,United States,40.7142691,-74.0059738
Supercell,Helsinki,Finland,60.1755556,24.934166
Maschinen-Mensch,Berlin,Germany,52.5166667,13.3999996
Special Touch Studios,Marseille,France,43.3,5.4000001
IO Interactive,Copenhagen,Denmark,55.6776812,12.5709343
IO Interactive,Barcelona,Spain,41.3887869,2.1589851
Pahdo Labs,New York City,United States,40.7142691,-74.0059738
Complex Games,Winnipeg,Canada,49.8843986,-97.1470413
Binyan Studios,Sydney,Australia,-33.86785,151.2073212
Sedleo,Florence,Italy,43.7666667,11.25
Beenox,Montreal,Canada,45.5167792,-73.6491776
Automatik VFX,Berlin,Germany,52.5166667,13.3999996
Romero Games,Galway,Ireland,53.2719444,-9.0488892
Gravity Well,Los Angeles,United States,34.0522342,-118.2436829
Ool Digital,Guadalajara,Mexico,20.6666667,-103.3333359
Bespoke Pixel Studio,Barcelona,Spain,41.3887869,2.1589851
ILM - Vancouver,Vancouver,Canada,49.2496574,-123.119339
ILM ,San Francisco,United States,37.7749295,-122.4194183
Marvel Entertainment,New York City,United States,40.7142691,-74.0059738
Iceberg Interactive,Haarlem,Netherlands,52.3808387,4.6368313
Fortiche Production,Paris,France,48.85341,2.3487999
